t_s,theta1_deg,omega1_deg_s
6.1253,139.4543,479.6268
7.6714,-164.3069,-14.7434
9.7921,5.6392,467.4166
10.2092,55.3299,-945.8631
11.1575,151.7282,550.7298
12.7121,160.6559,-327.1176
15.1676,-145.8462,-31.5185
17.3847,98.4060,168.6955
18.1909,-166.6060,484.6918
18.4693,-44.5539,848.3357
18.9211,90.8581,-578.9526
19.4151,-179.1990,200.2587
19.7648,-15.9864,227.2362
20.4124,-115.6028,-314.6941
21.0594,44.5520,-46.9800
21.5221,-45.7909,-744.6978
22.3845,92.2303,251.3644
22.6786,33.1144,-949.9878
23.5144,-9.5775,516.7561
23.9357,83.2778,-726.5272
26.7168,-112.4029,-387.1719
27.2213,-23.8816,641.9235
27.6688,116.7684,-401.9317
29.1047,17.4082,-1106.2165
29.7043,-10.5857,213.8721
31.5878,27.5262,-1114.8108
32.2267,7.1065,89.3019
33.9201,-128.3629,-7.4550
34.8515,134.3809,251.0179
36.0790,99.1241,257.4136
36.4065,39.7937,-954.9647
37.4146,51.4880,-24.8633
37.7351,6.3279,-882.3617
41.4788,125.7099,-499.3575
42.6831,168.5209,-226.4425
44.6715,-2.7930,318.3581
45.3113,45.6123,-1068.6942
45.9852,2.1068,108.8097
47.2845,135.8384,515.6009
47.5960,173.1887,82.0892
49.0573,86.6914,-746.1390
53.4155,36.9940,57.5353
54.0492,-35.0963,-920.7515
54.8988,88.8875,195.0509
55.1976,14.6515,-923.5498
